tags,y,x,CN,SW,SWdCN
"('NOUN', 'NOUN')",6,0,0.1469,0.1083,0.7372362151123213
"('NOUN', 'PROPN')",5,0,0.1151,0.1435,1.2467419635099912
"('NOUN', 'NP')",4,0,0.1029,0.1263,1.227405247813411
"('NOUN', 'VP')",3,0,0.0848,0.0866,1.0212264150943395
"('NOUN', 'VERB')",2,0,0.0414,0.0048,0.11594202898550723
"('NOUN', 'ADJ')",1,0,0.0394,0.0012,0.03045685279187817
"('NOUN', 'ADV')",0,0,0.038,0.0037,0.09736842105263159
"('PROPN', 'NOUN')",6,1,0.0309,0.0501,1.6213592233009708
"('PROPN', 'PROPN')",5,1,0.0287,0.0148,0.5156794425087108
"('PROPN', 'NP')",4,1,0.0283,0.012,0.42402826855123676
"('PROPN', 'VP')",3,1,0.0225,0.0426,1.8933333333333333
"('PROPN', 'VERB')",2,1,0.0222,0.0267,1.2027027027027026
"('PROPN', 'ADJ')",1,1,0.0214,0.0306,1.4299065420560748
"('PROPN', 'ADV')",0,1,0.0211,0.0324,1.5355450236966823
"('NP', 'NOUN')",6,2,0.0202,0.0316,1.5643564356435646
"('NP', 'PROPN')",5,2,0.0198,0.0411,2.0757575757575752
"('NP', 'NP')",4,2,0.0185,0.0434,2.345945945945946
"('NP', 'VP')",3,2,0.0174,0.0387,2.2241379310344827
"('NP', 'VERB')",2,2,0.0153,0.023,1.5032679738562091
"('NP', 'ADJ')",1,2,0.013,0.0002,0.015384615384615385
"('NP', 'ADV')",0,2,0.0107,0.0025,0.23364485981308414
"('VP', 'NOUN')",6,3,0.0106,0.0019,0.1792452830188679
"('VP', 'PROPN')",5,3,0.0081,0.001,0.1234567901234568
"('VP', 'NP')",4,3,0.0066,0.0136,2.0606060606060606
"('VP', 'VP')",3,3,0.0063,0.0008,0.12698412698412698
"('VP', 'VERB')",2,3,0.0062,0.0148,2.3870967741935485
"('VP', 'ADJ')",1,3,0.0049,0.0042,0.8571428571428571
"('VP', 'ADV')",0,3,0.0046,0.0042,0.9130434782608695
"('VERB', 'NOUN')",6,4,0.0044,0.0027,0.6136363636363636
"('VERB', 'PROPN')",5,4,0.0042,0.0001,0.02380952380952381
"('VERB', 'NP')",4,4,0.004,0.0001,0.025
"('VERB', 'VP')",3,4,0.0037,0.0008,0.21621621621621623
"('VERB', 'VERB')",2,4,0.0036,0.0052,1.4444444444444444
"('VERB', 'ADJ')",1,4,0.0035,0.003,0.8571428571428571
"('VERB', 'ADV')",0,4,0.0035,0.0007,0.19999999999999998
"('ADJ', 'NOUN')",6,5,0.0032,0.0054,1.6875
"('ADJ', 'PROPN')",5,5,0.003,0.0022,0.7333333333333334
"('ADJ', 'NP')",4,5,0.0029,0.0042,1.4482758620689655
"('ADJ', 'VP')",3,5,0.0026,0.0046,1.7692307692307694
"('ADJ', 'VERB')",2,5,0.0024,0.0032,1.3333333333333335
"('ADJ', 'ADJ')",1,5,,,
"('ADJ', 'ADV')",0,5,,,
"('ADV', 'NOUN')",6,6,,,
"('ADV', 'PROPN')",5,6,0.0015,0.0004,0.26666666666666666
"('ADV', 'NP')",4,6,0.0014,0.0035,2.5
"('ADV', 'VP')",3,6,0.0013,0.0024,1.846153846153846
"('ADV', 'VERB')",2,6,,,
"('ADV', 'ADJ')",1,6,,,
"('ADV', 'ADV')",0,6,,,
